instance,data_set,n_items,config,lower_bound,initial_height,rls_height,gap_initial_pct,gap_rls_pct,elapsed_s,evaluations
C7P1,data/c,196,stage2-best,240,242,241,0.8333,0.4167,20.0,4744
C7P2,data/c,197,bf-classic,240,246,243,2.5000,1.2500,20.0,15902
C7P2,data/c,197,stage1-best,240,245,243,2.0833,1.2500,20.0,20540
C7P2,data/c,197,stage2-best,240,242,241,0.8333,0.4167,20.0,4866
C7P3,data/c,196,bf-classic,240,245,243,2.0833,1.2500,20.0,19122
C7P3,data/c,196,stage1-best,240,245,244,2.0833,1.6667,20.0,20897
C7P3,data/c,196,stage2-best,240,243,241,1.2500,0.4167,20.0,5237
BKW01,data/bkw,10,bf-classic,40,48,40,20.0000,0.0000,0.0,313
BKW01,data/bkw,10,stage1-best,40,40,40,0.0000,0.0000,0.0,6
BKW01,data/bkw,10,stage2-best,40,40,40,0.0000,0.0000,0.0,6
BKW02,data/bkw,20,bf-classic,50,54,50,8.0000,0.0000,1.3,24441
BKW02,data/bkw,20,stage1-best,50,54,51,8.0000,2.0000,20.0,334607
BKW02,data/bkw,20,stage2-best,50,53,50,6.0000,0.0000,0.0,55
BKW03,data/bkw,30,bf-classic,50,54,51,8.0000,2.0000,20.0,264728
BKW03,data/bkw,30,stage1-best,50,52,51,4.0000,2.0000,20.0,252801
BKW03,data/bkw,30,stage2-best,50,52,50,4.0000,0.0000,0.0,248
BKW04,data/bkw,40,bf-classic,80,103,82,28.7500,2.5000,20.0,144617
BKW04,data/bkw,40,stage1-best,80,82,81,2.5000,1.2500,20.0,144990
BKW04,data/bkw,40,stage2-best,80,83,80,3.7500,0.0000,2.5,7898
BKW05,data/bkw,50,bf-classic,100,105,103,5.0000,3.0000,20.0,74761
BKW05,data/bkw,50,stage1-best,100,106,103,6.0000,3.0000,20.0,62132
BKW05,data/bkw,50,stage2-best,100,105,100,5.0000,0.0000,0.1,208
BKW06,data/bkw,60,bf-classic,100,102,101,2.0000,1.0000,20.0,73304
BKW06,data/bkw,60,stage1-best,100,103,101,3.0000,1.0000,20.0,69766
BKW06,data/bkw,60,stage2-best,100,101,100,1.0000,0.0000,0.5,636
BKW07,data/bkw,70,bf-classic,100,110,103,10.0000,3.0000,20.0,66854
BKW07,data/bkw,70,stage1-best,100,104,102,4.0000,2.0000,20.0,60372
BKW07,data/bkw,70,stage2-best,100,104,101,4.0000,1.0000,20.0,20117
BKW08,data/bkw,80,bf-classic,80,83,81,3.7500,1.2500,20.0,55392
BKW08,data/bkw,80,stage1-best,80,83,81,3.7500,1.2500,20.0,64956
BKW08,data/bkw,80,stage2-best,80,82,80,2.5000,0.0000,16.8,18039
BKW09,data/bkw,100,bf-classic,150,154,151,2.6667,0.6667,20.0,61245
BKW09,data/bkw,100,stage1-best,150,162,152,8.0000,1.3333,20.0,68592
BKW09,data/bkw,100,stage2-best,150,152,150,1.3333,0.0000,4.0,3753
BKW10,data/bkw,200,bf-classic,150,153,151,2.0000,0.6667,20.0,26725
BKW10,data/bkw,200,stage1-best,150,153,151,2.0000,0.6667,20.0,28454
BKW10,data/bkw,200,stage2-best,150,151,150,0.6667,0.0000,0.7,154
BKW11,data/bkw,300,bf-classic,150,153,152,2.0000,1.3333,20.0,16892
BKW11,data/bkw,300,stage1-best,150,152,151,1.3333,0.6667,20.0,19237
BKW11,data/bkw,300,stage2-best,150,151,150,0.6667,0.0000,1.6,197
BKW12,data/bkw,500,bf-classic,300,305,304,1.6667,1.3333,20.0,7390
BKW12,data/bkw,500,stage1-best,300,306,304,2.0000,1.3333,20.0,7740
BKW12,data/bkw,500,stage2-best,300,301,301,0.3333,0.3333,20.0,811
BKW13,data/bkw,3152,bf-classic,960,965,963,0.5208,0.3125,20.0,194
BKW13,data/bkw,3152,stage1-best,960,968,967,0.8333,0.7292,20.0,213
BKW13,data/bkw,3152,stage2-best,960,962,961,0.2083,0.1042,20.2,21
