instance,data_set,n_items,algorithm,height,lower_bound,gap_pct
C6P3,data/c,97,sh-greedy,137,120,14.1667
C6P3,data/c,97,ffdh,158,120,31.6667
C6P3,data/c,97,bfdh,160,120,33.3333
C6P3,data/c,97,sas,154,120,28.3333
C6P3,data/c,97,sasm,138,120,15.0000
C6P3,data/c,97,bfs,137,120,14.1667
C6P3,data/c,97,sc,129,120,7.5000
C6P3,data/c,97,scr,126,120,5.0000
C6P3,data/c,97,fh,121,120,0.8333
C7P1,data/c,196,bf-LM,246,240,2.5000
C7P1,data/c,196,bf-TN,247,240,2.9167
C7P1,data/c,196,bf-SN,250,240,4.1667
C7P1,data/c,196,bbf-best288,243,240,1.2500
C7P1,data/c,196,twbf-best18,245,240,2.0833
C7P1,data/c,196,ish-core,243,240,1.2500
C7P1,data/c,196,sh-greedy,266,240,10.8333
C7P1,data/c,196,ffdh,284,240,18.3333
C7P1,data/c,196,bfdh,287,240,19.5833
C7P1,data/c,196,sas,285,240,18.7500
C7P1,data/c,196,sasm,271,240,12.9167
C7P1,data/c,196,bfs,260,240,8.3333
C7P1,data/c,196,sc,250,240,4.1667
C7P1,data/c,196,scr,256,240,6.6667
C7P1,data/c,196,fh,241,240,0.4167
C7P2,data/c,197,bf-LM,246,240,2.5000
C7P2,data/c,197,bf-TN,244,240,1.6667
C7P2,data/c,197,bf-SN,246,240,2.5000
C7P2,data/c,197,bbf-best288,244,240,1.6667
C7P2,data/c,197,twbf-best18,244,240,1.6667
C7P2,data/c,197,ish-core,249,240,3.7500
C7P2,data/c,197,sh-greedy,254,240,5.8333
C7P2,data/c,197,ffdh,305,240,27.0833
C7P2,data/c,197,bfdh,309,240,28.7500
C7P2,data/c,197,sas,305,240,27.0833
C7P2,data/c,197,sasm,276,240,15.0000
C7P2,data/c,197,bfs,259,240,7.9167
C7P2,data/c,197,sc,249,240,3.7500
C7P2,data/c,197,scr,255,240,6.2500
C7P2,data/c,197,fh,241,240,0.4167
C7P3,data/c,196,bf-LM,245,240,2.0833
C7P3,data/c,196,bf-TN,246,240,2.5000
C7P3,data/c,196,bf-SN,248,240,3.3333
C7P3,data/c,196,bbf-best288,242,240,0.8333
C7P3,data/c,196,twbf-best18,245,240,2.0833
C7P3,data/c,196,ish-core,245,240,2.0833
C7P3,data/c,196,sh-greedy,264,240,10.0000
C7P3,data/c,196,ffdh,291,240,21.2500
C7P3,data/c,196,bfdh,292,240,21.6667
C7P3,data/c,196,sas,291,240,21.2500
C7P3,data/c,196,sasm,267,240,11.2500
C7P3,data/c,196,bfs,261,240,8.7500
C7P3,data/c,196,sc,253,240,5.4167
C7P3,data/c,196,scr,255,240,6.2500
C7P3,data/c,196,fh,241,240,0.4167
BKW01,data/bkw,10,bf-LM,48,40,20.0000
BKW01,data/bkw,10,bf-TN,47,40,17.5000
BKW01,data/bkw,10,bf-SN,47,40,17.5000
BKW01,data/bkw,10,bbf-best288,40,40,0.0000
BKW01,data/bkw,10,twbf-best18,40,40,0.0000
BKW01,data/bkw,10,ish-core,40,40,0.0000
BKW01,data/bkw,10,sh-greedy,40,40,0.0000
BKW01,data/bkw,10,ffdh,46,40,15.0000
BKW01,data/bkw,10,bfdh,46,40,15.0000
BKW01,data/bkw,10,sas,60,40,50.0000
BKW01,data/bkw,10,sasm,46,40,15.0000
BKW01,data/bkw,10,bfs,40,40,0.0000
BKW01,data/bkw,10,sc,40,40,0.0000
BKW01,data/bkw,10,scr,40,40,0.0000
BKW01,data/bkw,10,fh,40,40,0.0000
BKW02,data/bkw,20,bf-LM,55,50,10.0000
BKW02,data/bkw,20,bf-TN,53,50,6.0000
BKW02,data/bkw,20,bf-SN,54,50,8.0000
BKW02,data/bkw,20,bbf-best288,53,50,6.0000
BKW02,data/bkw,20,twbf-best18,53,50,6.0000
BKW02,data/bkw,20,ish-core,54,50,8.0000
BKW02,data/bkw,20,sh-greedy,57,50,14.0000
BKW02,data/bkw,20,ffdh,65,50,30.0000
BKW02,data/bkw,20,bfdh,65,50,30.0000
BKW02,data/bkw,20,sas,67,50,34.0000
BKW02,data/bkw,20,sasm,75,50,50.0000
BKW02,data/bkw,20,bfs,61,50,22.0000
BKW02,data/bkw,20,sc,61,50,22.0000
BKW02,data/bkw,20,scr,61,50,22.0000
BKW02,data/bkw,20,fh,50,50,0.0000
BKW03,data/bkw,30,bf-LM,54,50,8.0000
BKW03,data/bkw,30,bf-TN,64,50,28.0000
BKW03,data/bkw,30,bf-SN,54,50,8.0000
BKW03,data/bkw,30,bbf-best288,52,50,4.0000
BKW03,data/bkw,30,twbf-best18,52,50,4.0000
BKW03,data/bkw,30,ish-core,53,50,6.0000
BKW03,data/bkw,30,sh-greedy,57,50,14.0000
BKW03,data/bkw,30,ffdh,68,50,36.0000
BKW03,data/bkw,30,bfdh,68,50,36.0000
BKW03,data/bkw,30,sas,68,50,36.0000
BKW03,data/bkw,30,sasm,63,50,26.0000
BKW03,data/bkw,30,bfs,57,50,14.0000
BKW03,data/bkw,30,sc,54,50,8.0000
BKW03,data/bkw,30,scr,54,50,8.0000
BKW03,data/bkw,30,fh,51,50,2.0000
BKW04,data/bkw,40,bf-LM,86,80,7.5000
BKW04,data/bkw,40,bf-TN,102,80,27.5000
BKW04,data/bkw,40,bf-SN,87,80,8.7500
BKW04,data/bkw,40,bbf-best288,82,80,2.5000
BKW04,data/bkw,40,twbf-best18,84,80,5.0000
BKW04,data/bkw,40,ish-core,83,80,3.7500
BKW04,data/bkw,40,sh-greedy,93,80,16.2500
BKW04,data/bkw,40,ffdh,126,80,57.5000
BKW04,data/bkw,40,bfdh,126,80,57.5000
BKW04,data/bkw,40,sas,106,80,32.5000
BKW04,data/bkw,40,sasm,92,80,15.0000
BKW04,data/bkw,40,bfs,87,80,8.7500
BKW04,data/bkw,40,sc,87,80,8.7500
BKW04,data/bkw,40,scr,96,80,20.0000
BKW04,data/bkw,40,fh,83,80,3.7500
BKW05,data/bkw,50,bf-LM,105,100,5.0000
BKW05,data/bkw,50,bf-TN,105,100,5.0000
BKW05,data/bkw,50,bf-SN,106,100,6.0000
BKW05,data/bkw,50,bbf-best288,103,100,3.0000
BKW05,data/bkw,50,twbf-best18,104,100,4.0000
BKW05,data/bkw,50,ish-core,106,100,6.0000
BKW05,data/bkw,50,sh-greedy,112,100,12.0000
BKW05,data/bkw,50,ffdh,119,100,19.0000
BKW05,data/bkw,50,bfdh,119,100,19.0000
BKW05,data/bkw,50,sas,149,100,49.0000
BKW05,data/bkw,50,sasm,144,100,44.0000
BKW05,data/bkw,50,bfs,109,100,9.0000
BKW05,data/bkw,50,sc,109,100,9.0000
BKW05,data/bkw,50,scr,106,100,6.0000
BKW05,data/bkw,50,fh,103,100,3.0000
BKW06,data/bkw,60,bf-LM,102,100,2.0000
BKW06,data/bkw,60,bf-TN,104,100,4.0000
BKW06,data/bkw,60,bf-SN,107,100,7.0000
BKW06,data/bkw,60,bbf-best288,102,100,2.0000
BKW06,data/bkw,60,twbf-best18,102,100,2.0000
BKW06,data/bkw,60,ish-core,102,100,2.0000
BKW06,data/bkw,60,sh-greedy,109,100,9.0000
BKW06,data/bkw,60,ffdh,109,100,9.0000
BKW06,data/bkw,60,bfdh,109,100,9.0000
BKW06,data/bkw,60,sas,127,100,27.0000
BKW06,data/bkw,60,sasm,174,100,74.0000
BKW06,data/bkw,60,bfs,105,100,5.0000
BKW06,data/bkw,60,sc,105,100,5.0000
BKW06,data/bkw,60,scr,105,100,5.0000
BKW06,data/bkw,60,fh,102,100,2.0000
BKW07,data/bkw,70,bf-LM,110,100,10.0000
BKW07,data/bkw,70,bf-TN,107,100,7.0000
BKW07,data/bkw,70,bf-SN,110,100,10.0000
BKW07,data/bkw,70,bbf-best288,104,100,4.0000
BKW07,data/bkw,70,twbf-best18,108,100,8.0000
BKW07,data/bkw,70,ish-core,116,100,16.0000
BKW07,data/bkw,70,sh-greedy,127,100,27.0000
BKW07,data/bkw,70,ffdh,160,100,60.0000
BKW07,data/bkw,70,bfdh,161,100,61.0000
BKW07,data/bkw,70,sas,164,100,64.0000
BKW07,data/bkw,70,sasm,164,100,64.0000
BKW07,data/bkw,70,bfs,121,100,21.0000
BKW07,data/bkw,70,sc,118,100,18.0000
BKW07,data/bkw,70,scr,118,100,18.0000
BKW07,data/bkw,70,fh,102,100,2.0000
BKW08,data/bkw,80,bf-LM,85,80,6.2500
