ordering,selection,placement,mean_gap_pct,mean_gap_c,mean_gap_bkw,mean_gap_nt,instances
diagonal,first-fit,MinD,10.1708,9.86772380952381,6.1185846153846155,11.014285714285714,104
diagonal,first-fit,RM,10.2587,11.1045,7.169876923076923,10.57857142857143,104
perimeter,tre,SN,10.2688,10.61507619047619,5.887815384615385,10.978571428571428,104
diagonal,tre,MinD,10.2714,12.480157142857143,4.395823076923077,10.7,104
maxside,nre,MinD,10.3075,9.980161904761905,5.299676923076923,11.335714285714285,104
width,nre,MinD,10.3075,9.980161904761905,5.299676923076923,11.335714285714285,104
maxside,tre,SN,10.4051,9.338619047619048,5.463130769230769,11.642857142857142,104
width,tre,SN,10.4051,9.338619047619048,5.463130769230769,11.642857142857142,104
area,first-fit,RM,10.4204,11.970909523809523,5.794876923076923,10.814285714285715,104
area,first-fit,LM,10.4529,11.812180952380952,6.195515384615384,10.835714285714285,104
diagonal,nre,SN,10.4823,10.06614761904762,4.790061538461538,11.664285714285715,104
area,first-fit,MinD,10.5144,11.990757142857142,5.975961538461538,10.914285714285715,104
area,tre,TN,10.5434,13.181228571428571,5.092946153846154,10.764285714285714,104
area,widest-fit,MinD,10.5469,8.961638095238095,10.091338461538461,11.107142857142858,104
diagonal,widest-fit,MinD,10.5469,8.961638095238095,10.091338461538461,11.107142857142858,104
height,widest-fit,MinD,10.5469,8.961638095238095,10.091338461538461,11.107142857142858,104
maxside,widest-fit,MinD,10.5469,8.961638095238095,10.091338461538461,11.107142857142858,104
perimeter,widest-fit,MinD,10.5469,8.961638095238095,10.091338461538461,11.107142857142858,104
width,widest-fit,MinD,10.5469,8.961638095238095,10.091338461538461,11.107142857142858,104
area,widest-fit,RM,10.5815,9.642857142857142,8.959938461538462,11.164285714285715,104
diagonal,widest-fit,RM,10.5815,9.642857142857142,8.959938461538462,11.164285714285715,104
height,widest-fit,RM,10.5815,9.642857142857142,8.959938461538462,11.164285714285715,104
maxside,widest-fit,RM,10.5815,9.642857142857142,8.959938461538462,11.164285714285715,104
perimeter,widest-fit,RM,10.5815,9.642857142857142,8.959938461538462,11.164285714285715,104
width,widest-fit,RM,10.5815,9.642857142857142,8.959938461538462,11.164285714285715,104
area,first-fit,MaxD,10.6054,12.321433333333333,5.977569230769231,10.95,104
perimeter,nre,SN,10.6356,10.297633333333334,3.7580153846153848,12.014285714285714,104
area,widest-fit,SN,10.7142,9.417985714285715,11.653846153846153,10.928571428571429,104
diagonal,widest-fit,SN,10.7142,9.417985714285715,11.653846153846153,10.928571428571429,104
height,widest-fit,SN,10.7142,9.417985714285715,11.653846153846153,10.928571428571429,104
maxside,widest-fit,SN,10.7142,9.417985714285715,11.653846153846153,10.928571428571429,104
perimeter,widest-fit,SN,10.7142,9.417985714285715,11.653846153846153,10.928571428571429,104
width,widest-fit,SN,10.7142,9.417985714285715,11.653846153846153,10.928571428571429,104
area,widest-fit,LM,10.7145,9.173271428571429,9.16666923076923,11.464285714285714,104
diagonal,widest-fit,LM,10.7145,9.173271428571429,9.16666923076923,11.464285714285714,104
height,widest-fit,LM,10.7145,9.173271428571429,9.16666923076923,11.464285714285714,104
maxside,widest-fit,LM,10.7145,9.173271428571429,9.16666923076923,11.464285714285714,104
perimeter,widest-fit,LM,10.7145,9.173271428571429,9.16666923076923,11.464285714285714,104
width,widest-fit,LM,10.7145,9.173271428571429,9.16666923076923,11.464285714285714,104
