instance,group,n_items,arm,ordering,selection,placement,tower_removal,vertical_niche,engine,height,lower_bound,gap_pct,raises,buried_pct,top_waste_pct,time_ms
PVA10001,a,100,ponovn,perimeter,tre,RM,T,F,solve,1093,992,10.1815,,,,6.0
PVA10001,a,100,pmix,perimeter,fitness-number,SN,T,F,solve,1059,992,6.7540,,,,6.5
PVA10001,a,100,pmix,area,widest-fit,MaxD,T,F,solve,1095,992,10.3831,,,,6.2
PVA10001,a,100,pmix,area,fitness-number,LM,T,F,solve,1047,992,5.5444,,,,8.5
PVA10001,a,100,pmix,perimeter,tre,TN,T,T,solve,1087,992,9.5766,,,,7.6
PVA10001,a,100,pmix,diagonal,fitness-number,LM,T,T,solve,1065,992,7.3589,,,,9.4
PVA10001,a,100,pmix,maxside,fitness-number,MinD,T,T,solve,1054,992,6.2500,,,,9.2
PVA10001,a,100,pmix,maxside,widest-fit,MinD,T,T,solve,1078,992,8.6694,,,,7.6
PVA10001,a,100,pmix,perimeter,nre,MinD,T,T,solve,1077,992,8.5685,,,,10.7
PVA10002,a,100,grid,width,widest-fit,LM,F,F,measure,1095,985,11.1675,85,8.4395,2.7993,4.6
PVA10002,a,100,grid,width,widest-fit,LM,F,T,solve,1103,985,11.9797,,,,7.7
PVA10002,a,100,grid,width,widest-fit,LM,T,F,measure,1095,985,11.1675,85,8.4395,2.7993,5.9
PVA10002,a,100,grid,width,widest-fit,LM,T,T,solve,1103,985,11.9797,,,,6.3
PVA10002,a,100,grid,width,widest-fit,RM,F,F,measure,1099,985,11.5736,85,9.3815,2.2634,5.2
PVA10002,a,100,grid,width,widest-fit,RM,F,T,solve,1114,985,13.0964,,,,9.4
PVA10002,a,100,grid,width,widest-fit,RM,T,F,measure,1099,985,11.5736,85,9.3815,2.2634,5.7
PVA10002,a,100,grid,width,widest-fit,RM,T,T,solve,1114,985,13.0964,,,,10.1
PVA10002,a,100,grid,width,widest-fit,TN,F,F,measure,1077,985,9.3401,79,5.9417,3.4696,4.4
PVA10002,a,100,grid,width,widest-fit,TN,F,T,solve,1058,985,7.4112,,,,8.7
PVA10002,a,100,grid,width,widest-fit,TN,T,F,measure,1077,985,9.3401,79,5.9417,3.4696,4.5
PVA10002,a,100,grid,width,widest-fit,TN,T,T,solve,1058,985,7.4112,,,,7.4
PVA10002,a,100,grid,width,widest-fit,SN,F,F,measure,1138,985,15.5330,81,12.3182,3.2861,8.7
PVA10002,a,100,grid,width,widest-fit,SN,F,T,solve,1084,985,10.0508,,,,10.8
PVA10002,a,100,grid,width,widest-fit,SN,T,F,measure,1138,985,15.5330,81,12.3182,3.2861,6.2
